year,life_expectancy,gdp_per_capita,population,number_of_child_deaths,income_per_person,country,continent
1975,63.26,271.59948,920945083,2127000,924,China,Asia
1976,62.84,263.23062,937018252,1865000,896,China,Asia
1977,63.64,279.32455,951927444,1626000,909,China,Asia
1978,63.88,307.76619,966039822,1430000,1021,China,Asia
1979,64.04,326.76837,979880619,1284000,1064,China,Asia
1980,64.22,347.88741,993877310,1189000,1078,China,Asia
1981,64.34,361.22471,1008000152,1140000,1105,China,Asia
1982,64.86,387.74558,1022253396,1137000,1182,China,Asia
1983,65.33,423.5935,1037123834,1169000,1236,China,Asia
1984,65.71,481.3646,1053210735,1226000,1464,China,Asia
1985,66.08,538.69083,1070863389,1301000,1566,China,Asia
1986,66.32,578.18404,1090348056,1396000,1614,China,Asia
1987,66.64,635.4946,1111341725,1503000,1662,China,Asia
1988,66.69,695.59905,1132866344,1601000,1607,China,Asia
1989,66.74,713.68953,1153565894,1652000,1483,China,Asia
1990,67.05,730.77249,1172445200,1634000,1526,China,Asia
1991,67.3,787.86744,1189183522,1545000,1646,China,Asia
1992,67.5,888.911,1204003901,1376000,1857,China,Asia
1993,67.74,1000.61181,1217129133,1163000,2090,China,Asia
1994,68.02,1118.49958,1228991932,961000,2336,China,Asia
1995,68.36,1227.55641,1239940004,809200,2564,China,Asia
1996,68.7,1335.36268,1249981441,700600,2789,China,Asia
1997,69.01,1443.77474,1259066974,644200,3016,China,Asia
1998,69.34,1542.06413,1267441503,621600,3221,China,Asia
1999,69.7,1645.988,1275406699,607800,3438,China,Asia
2000,70.03,1771.74151,1283198970,585000,3701,China,Asia
2001,70.32,1905.61078,1290937649,554300,3980,China,Asia
2002,70.65,2065.71858,1298646577,519900,4315,China,Asia
2003,71.34,2258.91211,1306343911,482400,4718,China,Asia
2004,71.91,2472.58656,1314007478,443200,5165,China,Asia
2005,72.4,2738.20546,1321623490,406100,5719,China,Asia
2006,73.01,3069.30478,1329209094,370600,6411,China,Asia
2007,73.51,3487.84577,1336800506,335800,7285,China,Asia
2008,73.75,3805.026,1344415227,303100,7948,China,Asia
2009,74.28,4142.03829,1352068091,274100,8652,China,Asia
2010,74.59,4560.51259,1359755102,251600,9526,China,Asia
2011,75.06,4971.54493,1367480264,233800,10384,China,Asia
2012,75.43,5336.06014,1375198619,219500,11146,China,Asia
2013,75.72,5721.69382,1382793212,205500,11951,China,Asia
2014,75.89,6108.23877,1390110388,193000,12759,China,Asia
2015,76.26,6496.6240100000005,1397028553,181600,13570,China,Asia
1960,42.43,1205.26063,3558988,53410,2492,Côte d’Ivoire,Africa
1961,43.28,1276.47651,3694205,54260,2730,Côte d’Ivoire,Africa
1962,44.11,1242.73298,3841071,54910,2631,Côte d’Ivoire,Africa
1963,44.92,1367.32366,3996941,55600,2879,Côte d’Ivoire,Africa
1964,45.7,1545.87327,4157965,56320,3286,Côte d’Ivoire,Africa
1965,46.48,1441.02482,4321791,57300,3066,Côte d’Ivoire,Africa
1966,47.29,1548.58657,4487204,58160,3263,Côte d’Ivoire,Africa
1967,48.13,1560.95153,4656353,59070,3233,Côte d’Ivoire,Africa
1968,49.03,1692.16358,4834279,60120,3534,Côte d’Ivoire,Africa
1969,50,1782.17739,5027971,61130,3613,Côte d’Ivoire,Africa
1970,51,1886.62157,5242395,62190,3764,Côte d’Ivoire,Africa
1971,51.58,1975.73434,5479338,62880,3947,Côte d’Ivoire,Africa
1972,52.11,1966.84828,5737281,63300,3938,Côte d’Ivoire,Africa
1973,52.62,1987.8344,6013862,63470,3991,Côte d’Ivoire,Africa
1974,53.13,1978.00372,6305287,63440,3981,Côte d’Ivoire,Africa
1975,53.59,2042.96719,6608609,63230,4118,Côte d’Ivoire,Africa
1976,54.13,2202.09099,6922982,62960,4443,Côte d’Ivoire,Africa
1977,54.6,2256.93426,7248828,62750,4556,Côte d’Ivoire,Africa
1978,55.17,2391.92388,7585914,62670,4828,Côte d’Ivoire,Africa
1979,55.61,2341.66109,7934279,62760,4726,Côte d’Ivoire,Africa
1980,56.09,1994.71511,8293675,63050,4024,Côte d’Ivoire,Africa
1981,56.36,1976.28253,8664057,63480,3986,Côte d’Ivoire,Africa
1982,56.39,1896.9607800000001,9044473,63920,3825,Côte d’Ivoire,Africa
1983,56.43,1747.9398,9432731,64480,3524,Côte d’Ivoire,Africa
1984,56.38,1632.64566,9826055,65290,3292,Côte d’Ivoire,Africa
1985,56.47,1639.95874,10222558,66390,3308,Côte d’Ivoire,Africa
1986,56.44,1629.99567,10620267,67870,3291,Côte d’Ivoire,Africa
1987,56.13,1565.43783,11019651,69630,3165,Côte d’Ivoire,Africa
1988,55.73,1527.15612,11424260,71580,3092,Côte d’Ivoire,Africa
1989,55.36,1517.06964,11839243,73770,3344,Côte d’Ivoire,Africa
1990,55.03,1448.03364,12267754,76080,3194,Côte d’Ivoire,Africa
1991,54.77,1398.22024,12710008,78440,3084,Côte d’Ivoire,Africa
1992,54.37,1346.79807,13163019,80760,2970,Côte d’Ivoire,Africa
1993,53.8,1298.84419,13622731,83150,2865,Côte d’Ivoire,Africa
1994,53.41,1266.5316,14083611,85560,2793,Côte d’Ivoire,Africa
1995,52.89,1314.11994,14540820,87830,2898,Côte d’Ivoire,Africa
1996,52.79,1372.7902,14995249,90400,3028,Côte d’Ivoire,Africa
1997,52.84,1382.62159,15445986,92670,3049,Côte d’Ivoire,Africa
1998,52.77,1410.73839,15884552,94320,3112,Côte d’Ivoire,Africa
1999,52.69,1396.99955,16300233,95230,3081,Côte d’Ivoire,Africa
2000,52.65,1336.42961,16686561,95240,2948,Côte d’Ivoire,Africa
2001,52.66,1310.28647,17040152,94970,2890,Côte d’Ivoire,Africa
2002,52.9,1264.22231,17366517,93820,2788,Côte d’Ivoire,Africa
2003,53.09,1224.96834,17679355,92060,2702,Côte d’Ivoire,Africa
2004,53.31,1218.12035,17997738,90120,2687,Côte d’Ivoire,Africa
2005,53.66,1216.20847,18336303,88140,2682,Côte d’Ivoire,Africa
2006,54.06,1210.66821,18699435,86230,2670,Côte d’Ivoire,Africa
2007,54.62,1207.08719,19085941,84270,2662,Côte d’Ivoire,Africa
2008,55.17,1211.62384,19497986,82080,2672,Côte d’Ivoire,Africa
2009,55.75,1223.51062,19936366,80680,2699,Côte d’Ivoire,Africa
2010,56.34,1219.7491,20401331,79630,2690,Côte d’Ivoire,Africa
2011,56.93,1138.66496,20895311,78800,2511,Côte d’Ivoire,Africa
2012,57.36,1229.7782,21418603,77980,2712,Côte d’Ivoire,Africa
2013,58.09,1305.70923,21966312,77120,2880,Côte d’Ivoire,Africa
2014,58.62,1384.91035,22531350,76130,3055,Côte d’Ivoire,Africa
2015,59.22,1469.73018,23108472,75390,3251,Côte d’Ivoire,Africa
1960,46.1,956.45604,5176268,61640,1846,Cameroon,Africa
1961,46.64,947.82524,5285231,62040,1841,Cameroon,Africa
1962,47.18,955.91038,5399922,62830,1870,Cameroon,Africa
1963,47.72,970.05506,5520332,63870,1910,Cameroon,Africa
1964,48.26,982.05225,5646316,64780,1948,Cameroon,Africa
1965,48.8,979.14228,5777834,65360,1955,Cameroon,Africa
1966,49.34,1000.55475,5915123,65480,2013,Cameroon,Africa
1967,49.91,870.27322,6058539,64830,2033,Cameroon,Africa
1968,50.49,903.18054,6208282,63580,2128,Cameroon,Africa
1969,51.1,924.18438,6364569,62230,2193,Cameroon,Africa
1970,51.71,928.96,6527635,61030,2217,Cameroon,Africa
1971,52.03,936.87028,6697745,60200,2239,Cameroon,Africa
1972,52.47,937.08888,6875228,59930,2290,Cameroon,Africa
1973,52.84,961.35558,7060603,60360,2276,Cameroon,Africa
1974,53.22,1036.10148,7254468,61420,2328,Cameroon,Africa
1975,53.64,1121.25235,7457362,63080,2395,Cameroon,Africa
1976,53.95,1030.33584,7669445,65060,2381,Cameroon,Africa
1977,54.32,1139.00371,7890969,66870,2446,Cameroon,Africa
1978,54.79,1350.003,8122529,68250,2506,Cameroon,Africa
1979,55.24,1390.01137,8364835,69280,2570,Cameroon,Africa
1980,55.6,1322.60836,8618354,69980,2742,Cameroon,Africa
1981,56,1502.40773,8883016,70340,3115,Cameroon,Africa
1982,56.48,1566.73192,9158566,70310,3274,Cameroon,Africa
1983,56.93,1623.54003,9445003,69940,3410,Cameroon,Africa
1984,57.23,1691.65181,9742263,69260,3573,Cameroon,Africa
1985,57.82,1772.07232,10050023,68470,3779,Cameroon,Africa
1986,57.92,1833.98994,10368300,67850,3931,Cameroon,Africa
1987,58.4,1739.59313,10696274,67570,3628,Cameroon,Africa
1988,58.55,1554.722,11031817,67740,3367,Cameroon,Africa
1989,58.55,1480.75685,11372160,68700,2981,Cameroon,Africa
1990,58.45,1349.63265,11715218,70620,2852,Cameroon,Africa
1991,58.16,1261.03936,12060729,73280,2665,Cameroon,Africa
1992,57.86,1187.65853,12408931,76400,2510,Cameroon,Africa
1993,57.35,1063.4615,12758881,79810,2247,Cameroon,Africa
1994,56.97,1056.98901,13109660,83170,2232,Cameroon,Africa
1995,56.49,1065.11953,13460994,86510,2264,Cameroon,Africa
1996,56.06,1083.28482,13812472,89560,2315,Cameroon,Africa
1997,55.51,1111.55138,14165423,92040,2377,Cameroon,Africa
1998,55,1132.95203,14523570,93730,2432,Cameroon,Africa
1999,54.78,1152.35455,14891891,94570,2468,Cameroon,Africa
2000,54.46,1163.43141,15274234,94330,2507,Cameroon,Africa
2001,54.43,1183.43807,15671927,93400,2553,Cameroon,Africa
2002,54.45,1201.91208,16084886,91920,2588,Cameroon,Africa
2003,54.52,1224.16103,16513822,90360,2622,Cameroon,Africa
2004,54.64,1272.8512,16959081,88890,2648,Cameroon,Africa
2005,54.87,1264.1544,17420795,87620,2637,Cameroon,Africa
2006,55.28,1272.88267,17899562,86220,2649,Cameroon,Africa
2007,55.61,1299.29093,18395389,84660,2661,Cameroon,Africa
2008,56.18,1308.2355,18907008,83050,2664,Cameroon,Africa
2009,56.77,1300.84144,19432541,81360,2642,Cameroon,Africa
2010,57.25,1309.12221,19970495,79320,2655,Cameroon,Africa
2011,57.68,1326.64601,20520447,77600,2691,Cameroon,Africa
2012,58.26,1349.95171,21082383,75910,2739,Cameroon,Africa
2013,58.75,1385.23544,21655715,74210,2815,Cameroon,Africa
2014,59.16,1428.21567,22239904,72570,2904,Cameroon,Africa
2015,59.66,1469.63774,22834522,71350,2991,Cameroon,Africa
1960,44.88,1429.99798,1037220,7431,2167,Congo - Brazzaville,Africa
1961,45.43,1510.25819,1064111,7480,2500,Congo - Brazzaville,Africa
1962,45.95,1547.83496,1092292,7530,2399,Congo - Brazzaville,Africa
1963,46.44,1446.47787,1121735,7604,2230,Congo - Brazzaville,Africa
1964,46.89,1461.71235,1152412,7660,2247,Congo - Brazzaville,Africa
1965,47.3,1474.62735,1184316,7692,2293,Congo - Brazzaville,Africa
1966,47.67,1454.05902,1217391,7710,2373,Congo - Brazzaville,Africa
1967,48,1444.12831,1251703,7710,2600,Congo - Brazzaville,Africa
1968,48.3,1511.09974,1287516,7716,2778,Congo - Brazzaville,Africa
1969,48.58,1579.01468,1325147,7735,3006,Congo - Brazzaville,Africa
1970,48.83,1630.60765,1364812,7767,3291,Congo - Brazzaville,Africa
1971,49.21,1704.77839,1406643,7816,3484,Congo - Brazzaville,Africa
1972,49.59,1795.67901,1450518,7852,3520,Congo - Brazzaville,Africa
1973,50.02,1884.33893,1496047,7899,4008,Congo - Brazzaville,Africa
1974,50.51,1971.46356,1542690,7975,3858,Congo - Brazzaville,Africa
1975,50.98,2060.64291,1590039,8029,3713,Congo - Brazzaville,Africa
1976,51.43,2018.7081,1637941,8084,3779,Congo - Brazzaville,Africa
1977,51.76,1785.01904,1686524,8125,3402,Congo - Brazzaville,Africa
1978,52.08,1844.32811,1736099,8143,3506,Congo - Brazzaville,Africa
1979,52.52,1967.48494,1787129,8124,3792,Congo - Brazzaville,Africa
1980,53.05,2248.05702,1839935,8100,4152,Congo - Brazzaville,Africa
1981,53.55,2567.76337,1894676,8051,4890,Congo - Brazzaville,Africa
1982,54.03,3081.76606,1951195,7964,5870,Congo - Brazzaville,Africa
1983,54.44,3168.04877,2009165,7849,6023,Congo - Brazzaville,Africa
1984,54.79,3292.42655,2068132,7728,6276,Congo - Brazzaville,Africa
1985,54.98,3162.20222,2127770,7636,6031,Congo - Brazzaville,Africa
1986,54.96,2864.09216,2188046,7592,5463,Congo - Brazzaville,Africa
1987,54.82,2791.56319,2249146,7604,5326,Congo - Brazzaville,Africa
1988,54.63,2764.4173,2311348,7681,5275,Congo - Brazzaville,Africa
1989,54.41,2760.26451,2375008,7841,5227,Congo - Brazzaville,Africa
1990,54.08,2713.10129,2440457,8077,5140,Congo - Brazzaville,Africa
1991,54.16,2703.519,2507772,8393,5122,Congo - Brazzaville,Africa
1992,54.19,2699.5731,2577035,8770,5115,Congo - Brazzaville,Africa
1993,53.35,2600.98948,2648507,9223,4928,Congo - Brazzaville,Africa
1994,53.12,2391.31033,2722497,9796,4531,Congo - Brazzaville,Africa
1995,52.68,2418.42675,2799255,10460,4582,Congo - Brazzaville,Africa
1996,52.3,2452.13807,2879222,11230,4646,Congo - Brazzaville,Africa
1997,46.71,2368.34013,2962470,12060,4487,Congo - Brazzaville,Africa
1998,50.21,2387.5613,3048453,12850,4524,Congo - Brazzaville,Africa
1999,51.97,2260.72982,3136344,13510,4283,Congo - Brazzaville,Africa
2000,52.78,2364.61292,3225727,13920,4480,Congo - Brazzaville,Africa
2001,53.7,2387.84864,3315806,14080,4524,Congo - Brazzaville,Africa
2002,54.44,2430.28515,3407180,13880,4605,Congo - Brazzaville,Africa
2003,54.96,2383.35912,3502519,13430,4516,Congo - Brazzaville,Africa
2004,55.81,2395.81962,3605439,12830,4539,Congo - Brazzaville,Africa
2005,56.6,2503.31205,3718243,12180,4743,Congo - Brazzaville,Africa
2006,57.47,2573.50988,3842365,11450,4876,Congo - Brazzaville,Africa
2007,57.97,2447.51163,3976246,10770,4637,Congo - Brazzaville,Africa
2008,58.7,2496.50231,4115435,10080,4730,Congo - Brazzaville,Africa
2009,59.58,2595.7485,4253712,9442,4918,Congo - Brazzaville,Africa
2010,60.43,2737.34233,4386693,8878,5186,Congo - Brazzaville,Africa
2011,61.12,2751.91068,4512730,8436,5214,Congo - Brazzaville,Africa
2012,61.53,2782.11188,4633363,8089,5271,Congo - Brazzaville,Africa
2013,61.96,2806.34743,4751393,7774,5317,Congo - Brazzaville,Africa
2014,62.38,2922.97318,4871101,7502,5538,Congo - Brazzaville,Africa
2015,62.64,2925.52775,4995648,7269,5543,Congo - Brazzaville,Africa
1960,61,2213.22287,16480383,88560,3479,Colombia,Americas
1961,61.61,2260.89862,16982315,89160,3533,Colombia,Americas
1962,62.19,2313.93003,17500171,90100,3594,Colombia,Americas
1963,62.73,2310.70247,18033550,91110,3587,Colombia,Americas
1964,63.26,2390.56277,18581974,91760,3683,Colombia,Americas
1965,63.76,2390.25442,19144223,91920,3709,Colombia,Americas
1966,64.24,2443.78718,19721462,91510,3797,Colombia,Americas
1967,64.7,2472.24745,20311371,90420,3819,Colombia,Americas
1968,65.14,2556.42709,20905059,88420,3942,Colombia,Americas
1969,65.56,2648.89209,21490945,85570,4079,Colombia,Americas
1970,65.96,2759.92701,22061215,81960,4238,Colombia,Americas
1971,65.94,2852.95085,22611986,77510,4391,Colombia,Americas
1972,65.44,3000.89271,23146803,72350,4631,Colombia,Americas
1973,65.32,3131.38782,23674504,67110,4846,Colombia,Americas
1974,65.63,3238.23322,24208021,62570,5048,Colombia,Americas
1975,66.44,3237.61266,24756973,59210,5092,Colombia,Americas
1976,66.94,3317.66718,25323406,56780,5260,Colombia,Americas
1977,67.86,3377.6932,25905127,55510,5416,Colombia,Americas
1978,68.06,3581.03008,26502166,54640,5814,Colombia,Americas
1979,68.26,3688.70154,27113512,53480,6053,Colombia,Americas
1980,69.01,3753.43527,27737900,51650,6218,Colombia,Americas
1981,69.43,3752.06991,28375991,49150,6282,Colombia,Americas
1982,69.97,3702.68842,29027162,46170,6245,Colombia,Americas
1983,70.16,3677.73959,29687094,43100,6258,Colombia,Americas
1984,70.58,3718.09646,30350086,40210,6349,Colombia,Americas
1985,68,3751.14975,31011688,37830,6440,Colombia,Americas
1986,70.6,3887.65431,31669776,35860,6704,Colombia,Americas
1987,70.58,4013.52856,32324325,34320,6965,Colombia,Americas
1988,70.8,4093.99254,32975535,33110,7170,Colombia,Americas
1989,70.96,4152.19281,33624444,32040,7310,Colombia,Americas
1990,71.38,4319.93045,34271565,31100,7534,Colombia,Americas
1991,71.09,4336.66268,34916766,30330,7563,Colombia,Americas
1992,71.13,4472.68628,35558682,29620,7800,Colombia,Americas
1993,71.38,4497.98234,36195168,28910,7844,Colombia,Americas
1994,71.62,4679.24178,36823537,27980,8160,Colombia,Americas
1995,71.99,4841.36713,37441977,26960,8443,Colombia,Americas
1996,72.18,4862.06805,38049038,25660,8479,Colombia,Americas
1997,72.69,4951.24642,38645411,24290,8634,Colombia,Americas
1998,73.04,4904.74819,39234062,22880,8553,Colombia,Americas
1999,73.05,4629.49803,39819279,21690,8073,Colombia,Americas
2000,73.25,4764.16775,40403958,20710,8308,Colombia,Americas
2001,73.39,4774.97561,40988909,20040,8327,Colombia,Americas
2002,73.61,4825.832,41572491,19660,8416,Colombia,Americas
2003,74.34,4945.95797,42152151,19340,8625,Colombia,Americas
2004,74.56,5139.97663,42724163,18940,8964,Colombia,Americas
2005,75,5312.08235,43285634,18360,9264,Colombia,Americas
2006,75.19,5596.73474,43835722,17690,9760,Colombia,Americas
2007,75.79,5910.29238,44374572,16850,10307,Colombia,Americas
2008,76.03,6048.09453,44901544,15940,10547,Colombia,Americas
2009,76.15,6078.31546,45416181,15070,10600,Colombia,Americas
2010,76.44,6250.65504,45918097,14310,10901,Colombia,Americas
2011,77.02,6592.40232,46406646,13740,11496,Colombia,Americas
2012,77.32,6789.5255,46881475,13190,11840,Colombia,Americas
2013,77.68,7051.04027,47342981,12770,12296,Colombia,Americas
2014,77.88,7291.69187,47791911,12360,12716,Colombia,Americas
2015,78.05,7446.1824,48228697,11930,12985,Colombia,Americas
1980,54.49,873.14531,307829,2388,1640,Comoros,Africa
1981,54.9,878.97446,317606,2398,1644,Comoros,Africa
1982,55.33,908.37193,326946,2392,1691,Comoros,Africa
1983,55.59,926.24271,336096,2372,1717,Comoros,Africa
1984,56.2,938.15886,345466,2345,1734,Comoros,Africa
1985,56.6,932.89671,355337,2317,1723,Comoros,Africa
1986,57,923.23488,365760,2285,1708,Comoros,Africa
1987,57.38,911.21719,376654,2249,1691,Comoros,Africa
1988,57.93,908.43077,387963,2210,1694,Comoros,Africa
1989,58.15,853.85463,399632,2172,1626,Comoros,Africa
1990,58.63,871.24903,411594,2133,1600,Comoros,Africa
1991,58.92,800.36475,423872,2090,1470,Comoros,Africa
1992,59.24,843.6138,436448,2041,1549,Comoros,Africa
1993,59.54,844.16464,449274,1999,1550,Comoros,Africa
1994,59.73,777.12889,462277,1969,1427,Comoros,Africa
1995,59.99,782.96773,475394,1949,1438,Comoros,Africa
1996,59.27,751.92393,488627,1943,1381,Comoros,Africa
1997,60.18,761.46218,501953,1952,1398,Comoros,Africa
1998,60.19,751.12934,515385,1969,1379,Comoros,Africa
1999,61.26,746.09241,528848,1993,1370,Comoros,Africa
2000,61.48,806.42947,542357,2019,1481,Comoros,Africa
2001,62.39,805.15553,555888,2051,1479,Comoros,Africa
2002,62.7,804.21132,569479,2086,1477,Comoros,Africa
2003,63.52,801.79876,583211,2110,1472,Comoros,Africa
2004,63.97,798.01057,597228,2123,1465,Comoros,Africa
2005,64.29,801.33346,611627,2125,1472,Comoros,Africa
2006,64.54,803.11305,626425,2118,1475,Comoros,Africa
2007,64.7,790.36748,641620,2109,1451,Comoros,Africa
2008,65.29,774.68492,657229,2097,1423,Comoros,Africa
2009,64.92,770.99471,673252,2075,1416,Comoros,Africa
2010,65.93,769.17429,689692,2055,1413,Comoros,Africa
2011,65.63,770.32276,706569,2027,1415,Comoros,Africa
2012,66.21,774.47099,723868,2004,1422,Comoros,Africa
2013,66.53,782.5169,741500,1970,1437,Comoros,Africa
2014,66.97,779.83982,759385,1937,1432,Comoros,Africa
2015,67.27,769.47738,777424,1897,1413,Comoros,Africa
1980,65.21,673.82264,286657,957,1217,Cape Verde,Africa
1981,65.27,718.37873,291602,965,1299,Cape Verde,Africa
1982,65.28,724.55242,297285,983,1308,Cape Verde,Africa
1983,65.32,777.62363,303368,1005,1400,Cape Verde,Africa
1984,65.14,791.31696,309397,1019,1420,Cape Verde,Africa
1985,65.66,844.22653,315069,1017,1507,Cape Verde,Africa
1986,66.06,854.59684,320183,1001,1514,Cape Verde,Africa
1987,66.47,878.49895,324893,969,1581,Cape Verde,Africa
1988,66.92,917.68542,329671,930,1590,Cape Verde,Africa
1989,67.32,954.02084,335184,891,1635,Cape Verde,Africa
1990,67.82,941.80142,341883,863,1657,Cape Verde,Africa
1991,67.79,933.05324,349934,832,1642,Cape Verde,Africa
1992,67.95,1008.71436,359090,808,1775,Cape Verde,Africa
1993,68.09,1067.06634,369014,787,1877,Cape Verde,Africa
1994,68.29,1237.73976,379156,763,2178,Cape Verde,Africa
1995,67.19,1377.41961,389127,730,2423,Cape Verde,Africa
1996,68.67,1496.60967,398773,686,2633,Cape Verde,Africa
1997,68.89,1624.70297,408175,633,2858,Cape Verde,Africa
1998,69.14,1787.99912,417323,572,3146,Cape Verde,Africa
1999,69.33,1946.8514,426285,509,3425,Cape Verde,Africa
2000,69.75,2179.98481,435079,450,3835,Cape Verde,Africa
2001,70.02,2185.25382,443716,400,3845,Cape Verde,Africa
2002,70.29,2257.31667,452106,361,3971,Cape Verde,Africa
2003,70.56,2310.49442,460147,333,4065,Cape Verde,Africa
2004,70.82,2505.17251,467664,315,4407,Cape Verde,Africa
2005,71.09,2639.38264,474567,307,4643,Cape Verde,Africa
2006,71.38,2813.1854,480795,307,4949,Cape Verde,Africa
2007,71.37,3202.37926,486438,310,5634,Cape Verde,Africa
2008,71.99,3378.6462,491723,313,5944,Cape Verde,Africa
2009,72.23,3300.55099,496963,315,5807,Cape Verde,Africa
2010,72.45,3312.82598,502384,314,5828,Cape Verde,Africa
2011,72.68,3405.78186,508067,308,5992,Cape Verde,Africa
2012,72.83,3403.03108,513979,298,5987,Cape Verde,Africa
2013,73.05,3389.94,520106,288,5964,Cape Verde,Africa
2014,73.27,3369.64271,526437,277,5928,Cape Verde,Africa
2015,73.39,3362.20997,532913,267,5919,Cape Verde,Africa
1960,63.38,2856.53118,1333040,6357,4258,Costa Rica,Americas
1961,63.99,2729.15765,1381917,6285,4276,Costa Rica,Americas
1962,64.59,2847.14746,1432585,6180,4381,Costa Rica,Americas
1963,65.17,2879.02314,1484510,6042,4599,Costa Rica,Americas
1964,65.75,2895.99729,1537041,5874,4673,Costa Rica,Americas
1965,66.31,3075.45575,1589621,5587,4942,Costa Rica,Americas
1966,66.85,3211.32499,1642186,5326,5158,Costa Rica,Americas
1967,67.39,3287.6171,1694710,5127,5309,Costa Rica,Americas
1968,67.91,3456.88982,1746869,4970,5553,Costa Rica,Americas
1969,68.42,3545.3033,1798311,4820,5761,Costa Rica,Americas
1970,68.94,3707.09645,1848866,4607,5979,Costa Rica,Americas
1971,69.48,3855.17933,1898360,4238,6205,Costa Rica,Americas
1972,70.04,4066.17092,1947048,3736,6580,Costa Rica,Americas
1973,70.64,4272.76816,1995743,3259,6910,Costa Rica,Americas
1974,71.22,4399.81815,2045580,2903,7100,Costa Rica,Americas
1975,71.83,4381.21461,2097407,2630,7055,Costa Rica,Americas
1976,72.44,4506.72702,2151497,2366,7243,Costa Rica,Americas
1977,73.06,4783.02605,2207725,2100,7677,Costa Rica,Americas
1978,73.62,4951.75934,2266154,1892,7851,Costa Rica,Americas
1979,74.13,5061.10383,2326704,1769,8007,Costa Rica,Americas
1980,74.6,4965.54712,2389310,1715,7940,Costa Rica,Americas
1981,74.97,4725.05861,2454129,1714,7580,Costa Rica,Americas
1982,75.28,4264.32345,2521168,1729,6867,Costa Rica,Americas
1983,75.54,4269.9526,2589930,1737,6870,Costa Rica,Americas
1984,75.75,4415.67076,2659781,1717,7208,Costa Rica,Americas
1985,75.93,4346.52578,2730233,1670,7069,Costa Rica,Americas
1986,76.1,4481.82522,2800986,1603,7252,Costa Rica,Americas
1987,76.26,4671.18887,2872211,1529,7399,Costa Rica,Americas
1988,76.35,4730.44817,2944557,1469,7461,Costa Rica,Americas
1989,76.47,4847.59647,3018955,1421,7696,Costa Rica,Americas
1990,76.57,4911.55433,3095995,1384,7787,Costa Rica,Americas
1991,76.58,4911.51182,3175649,1354,7787,Costa Rica,Americas
1992,76.72,5228.49571,3257466,1321,8290,Costa Rica,Americas
1993,76.82,5459.06799,3341004,1294,8655,Costa Rica,Americas
1994,76.91,5563.02243,3425690,1265,8820,Costa Rica,Americas
1995,77.02,5651.6804,3510926,1237,8961,Costa Rica,Americas
1996,77.11,5585.13868,3596732,1217,8855,Costa Rica,Americas
1997,77.29,5758.276,3682725,1198,9130,Costa Rica,Americas
1998,77.53,6020.76177,3767373,1161,9546,Costa Rica,Americas
1999,77.77,6125.90327,3848723,1102,9712,Costa Rica,Americas
2000,78,6230.47949,3925443,1022,9878,Costa Rica,Americas
2001,78.26,6332.83691,3996798,938,10041,Costa Rica,Americas
2002,78.52,6434.39213,4063204,866,10202,Costa Rica,Americas
2003,78.78,6606.15649,4125971,795,10474,Costa Rica,Americas
2004,79.08,6792.10987,4187038,754,10769,Costa Rica,Americas
2005,79.35,6954.03921,4247841,724,11025,Costa Rica,Americas
2006,79.62,7351.86087,4308794,721,11656,Costa Rica,Americas
2007,79.95,7841.92586,4369469,736,12433,Costa Rica,Americas
2008,80.15,8095.30973,4429508,757,12835,Costa Rica,Americas
2009,80.31,7911.7952,4488263,766,12544,Costa Rica,Americas
2010,80.4,8199.41462,4545280,772,13000,Costa Rica,Americas
2011,80.53,8449.96261,4600474,760,13397,Costa Rica,Americas
2012,80.6,8753.22562,4654122,745,13878,Costa Rica,Americas
2013,80.7,8852.40112,4706401,717,14035,Costa Rica,Americas
2014,80.8,9065.02645,4757575,690,14392,Costa Rica,Americas
2015,80.92,9296.00211,4807852,663,14914,Costa Rica,Americas
1970,72,2249.08258,8715123,9638,9157,Cuba,Americas
1971,72.37,2399.50956,8869961,8610,9730,Cuba,Americas
1972,72.75,2472.0338,9025300,7804,10016,Cuba,Americas
1973,73.04,2514.928,9176052,7410,10735,Cuba,Americas
1974,73.26,2501.70362,9315373,7244,11117,Cuba,Americas
1975,73.47,2703.06448,9438442,6823,11505,Cuba,Americas
1976,73.63,2818.1867,9544271,5894,11674,Cuba,Americas
1977,73.77,3034.88848,9634680,4705,12069,Cuba,Americas
1978,73.88,3209.5153,9711392,3663,12694,Cuba,Americas
1979,74.11,3222.57349,9777290,2954,12914,Cuba,Americas
1980,74.17,3048.24929,9835177,2611,12679,Cuba,Americas
1981,74.33,3630.29894,9884213,2537,13657,Cuba,Americas
1982,74.44,3937.56108,9925623,2732,13867,Cuba,Americas
1983,74.49,4133.52081,9966733,3040,14131,Cuba,Americas
1984,74.53,4438.8836,10017059,3311,14500,Cuba,Americas
1985,74.54,4480.27001,10082989,3440,14627,Cuba,Americas
1986,74.6,4447.00818,10168087,3396,14522,Cuba,Americas
1987,74.63,4297.29531,10269567,3228,14301,Cuba,Americas
1988,74.67,4409.31218,10379548,2993,14433,Cuba,Americas
1989,74.78,4394.01891,10486509,2744,14341,Cuba,Americas
1990,74.84,4225.94398,10582081,2496,14184,Cuba,Americas
1991,74.9,3745.23053,10663585,2238,12423,Cuba,Americas
1992,74.95,3289.982,10733363,1974,10628,Cuba,Americas
1993,74.95,2784.7255,10794135,1767,8874,Cuba,Americas
